subject,topic,subtopic,skill_tags,difficulty,cognitive_level,answer_type,question_text,option_a,option_b,option_c,option_d,correct_answer,numerical_tolerance,solution,explanation,reference
Digital Electronics,Number Systems and Codes,"Positional Number Systems (Binary, Octal, Decimal, Hexadecimal)",number-systems;radix,2,recall,multiple_choice_single,How many distinct digit symbols are used in the hexadecimal number system?,8,10,15,16,D,,,,
Digital Electronics,Number Systems and Codes,"Positional Number Systems (Binary, Octal, Decimal, Hexadecimal)",number-systems;positional-weight,4,comprehension,multiple_choice_single,"In the octal number $(247.5)_8$, what is the positional weight of the digit 2?",$64$,$100$,$1/8$,$8$,A,,,,
Digital Electronics,Number Systems and Codes,"Positional Number Systems (Binary, Octal, Decimal, Hexadecimal)",number-systems;range;hexadecimal,6,application,numerical_tolerance,What is the largest unsigned integer that can be written with six hexadecimal digits?,,,,,16777215,0.001,,,
Digital Electronics,Number Systems and Codes,"Positional Number Systems (Binary, Octal, Decimal, Hexadecimal)",number-systems;radix-identification;fractions,8,application,numerical_tolerance,The fraction $(0.1)_r$ has the decimal value $0.25$. Determine the radix $r$.,,,,,4,0.001,,,
Digital Electronics,Number Systems and Codes,"Positional Number Systems (Binary, Octal, Decimal, Hexadecimal)",number-systems;positional-weight;radix-properties,10,analysis,multiple_choice_single,Which statement about a positional number system of radix $r$ is correct?,The digit count needed for a given value is independent of $r$,Appending one zero to the right of an integer multiplies its value by $r$,Appending one zero to the right of an integer increases its value by $r$,The leftmost digit of an integer always carries a weight of $1$,B,,,,
Digital Electronics,Number Systems and Codes,Base Conversion,base-conversion;binary-to-decimal,2,recall,multiple_choice_single,What is the decimal equivalent of $(1011)_2$?,$9$,$11$,$13$,$22$,B,,,,
Digital Electronics,Number Systems and Codes,Base Conversion,base-conversion;hex-to-octal,4,comprehension,multiple_choice_single,The hexadecimal number $(2F)_{16}$ expressed in octal is,$(76)_8$,$(117)_8$,$(57)_8$,$(47)_8$,C,,,,
Digital Electronics,Number Systems and Codes,Base Conversion,base-conversion;octal-to-decimal,6,application,numerical_tolerance,Convert $(725)_8$ to its decimal equivalent.,,,,,469,0.001,,,
Digital Electronics,Number Systems and Codes,Base Conversion,base-conversion;binary-to-hex;fractional-part,8,application,multiple_choice_single,The hexadecimal equivalent of $(10110111.011)_2$ is,$(B7.6)_{16}$,$(B7.C)_{16}$,$(A7.6)_{16}$,$(B7.3)_{16}$,A,,,,
Digital Electronics,Number Systems and Codes,Base Conversion,base-conversion;unknown-radix,10,analysis,numerical_tolerance,"In an unknown radix $r$, the number $(234)_r$ has the decimal value $123$. Determine $r$.",,,,,7,0.001,,,
Digital Electronics,Number Systems and Codes,"Binary Arithmetic (Addition, Subtraction, Multiplication, Division)",binary-arithmetic;addition;carry,2,recall,multiple_choice_single,"When two 1 bits are added in binary, what are the resulting sum and carry bits?","Sum 0, carry 0","Sum 1, carry 0","Sum 0, carry 1","Sum 1, carry 1",C,,,,
Digital Electronics,Number Systems and Codes,"Binary Arithmetic (Addition, Subtraction, Multiplication, Division)",binary-arithmetic;addition,4,comprehension,numerical_tolerance,Find the decimal value of the binary sum $(1101)_2+(1011)_2$.,,,,,24,0.001,,,
Digital Electronics,Number Systems and Codes,"Binary Arithmetic (Addition, Subtraction, Multiplication, Division)",binary-arithmetic;multiplication,6,application,numerical_tolerance,Find the decimal value of the binary product $(1011)_2\times(101)_2$.,,,,,55,0.001,,,
Digital Electronics,Number Systems and Codes,"Binary Arithmetic (Addition, Subtraction, Multiplication, Division)",binary-arithmetic;subtraction;borrow,8,application,multiple_choice_single,Evaluate the binary subtraction $(10010)_2-(1011)_2$.,$(01001)_2$,$(01011)_2$,$(00101)_2$,$(00111)_2$,D,,,,
Digital Electronics,Number Systems and Codes,"Binary Arithmetic (Addition, Subtraction, Multiplication, Division)",binary-arithmetic;division,10,analysis,numerical_tolerance,Divide $(100110)_2$ by $(110)_2$ using binary long division. Give the integer quotient in decimal.,,,,,6,0.001,,,
Digital Electronics,Number Systems and Codes,"Signed Number Representation (Sign-Magnitude, 1's Complement, 2's Complement)",signed-numbers;twos-complement;range,2,recall,multiple_choice_single,What is the range of integers representable in 8-bit two's complement form?,$-128$ to $+127$,$0$ to $255$,$-127$ to $+127$,$-128$ to $+128$,A,,,,
Digital Electronics,Number Systems and Codes,"Signed Number Representation (Sign-Magnitude, 1's Complement, 2's Complement)",signed-numbers;twos-complement;encoding,4,comprehension,multiple_choice_single,Which 8-bit pattern is the two's complement representation of $-25$?,10011001,11100110,11101001,11100111,D,,,,
Digital Electronics,Number Systems and Codes,"Signed Number Representation (Sign-Magnitude, 1's Complement, 2's Complement)",signed-numbers;twos-complement;decoding,6,application,numerical_tolerance,The 8-bit pattern 11010110 is interpreted as a two's complement number. Give its decimal value.,,,,,-42,0.001,,,
