subject,topic,subtopic,skill_tags,difficulty,cognitive_level,answer_type,question_text,option_a,option_b,option_c,option_d,correct_answer,numerical_tolerance,solution,explanation,reference
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Laplace Transforms,basic-pairs;impulse;laplace-transform,1,recall,text_short,What is the Laplace transform of the unit impulse $\delta(t)$?,,,,,1|unity|one,,By definition $\mathcal{L}\{\delta(t)\}=\int_{0^-}^{\infty}\delta(t)e^{-st}dt=e^{-s\cdot 0}=1$.,"The impulse samples the kernel at $t=0$, so the transform is the constant 1 for all $s$.",
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Laplace Transforms,basic-functions;laplace-transform,2,recall,multiple_choice_single,"What is the Laplace transform of the unit-step signal $1$, for $t\ge 0$?",$1$,$1/s$,$s$,$1/s^2$,B,,,,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Laplace Transforms,evaluation;laplace-transform;polynomial,2,application,numerical_tolerance,"For $f(t)=t^3u(t)$, evaluate $F(s)$ at $s=2$.",,,,,0.375,1%,"$\mathcal{L}\{t^n\}=n!/s^{n+1}$, so $F(s)=3!/s^4=6/s^4$. At $s=2$: $6/16=0.375$.","Requires the factorial form of the power-law pair, then a direct substitution.",
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Laplace Transforms,existence;laplace-transform;region-of-convergence,3,comprehension,text_short,"For $f(t)=e^{4t}u(t)$, the unilateral Laplace integral converges only for $\operatorname{Re}(s)$ greater than a certain value. State that value.",,,,,4|four|s=4|Re(s)>4,,"$\int_0^\infty e^{4t}e^{-st}dt=\int_0^\infty e^{-(s-4)t}dt$ converges only if $\operatorname{Re}(s-4)>0$, i.e. $\operatorname{Re}(s)>4$.",The abscissa of convergence sits at the exponential growth rate of the signal.,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Laplace Transforms,laplace-transform;polynomial,4,comprehension,multiple_choice_single,Which expression is the Laplace transform of $t^2$?,$1/s^2$,$2/s^2$,$6/s^3$,$2/s^3$,D,,,,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Laplace Transforms,evaluation;exponential;laplace-transform;sinusoid,4,application,numerical_tolerance,"For $f(t)=e^{-3t}\sin 4t$, evaluate $F(s)$ at $s=1$.",,,,,0.125,1%,Frequency shifting gives $F(s)=4/[(s+3)^2+16]$. At $s=1$: $4/(16+16)=0.125$.,Combines the sine pair with the $s\to s+a$ shift produced by the decaying exponential.,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Laplace Transforms,laplace-transform;linearity;polynomial,5,analysis,numerical_tolerance,"For $f(t)=(2+3t+4t^2)u(t)$, evaluate $F(s)$ at $s=2$.",,,,,2.75,1%,By linearity $F(s)=2/s+3/s^2+8/s^3$. At $s=2$: $1+0.75+1=2.75$.,"Tests linearity plus the correct factorial numerator on the $t^2$ term ($2!=2$, giving $8/s^3$).",
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Laplace Transforms,exponential;laplace-transform;sinusoid,6,application,multiple_choice_single,Find $\mathcal{L}\{e^{-2t}\sin 3t\}$.,$3/[(s+2)^2+9]$,$3/[(s-2)^2+9]$,$(s+2)/[(s+2)^2+9]$,$3/(s^2+13)$,A,,,,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Laplace Transforms,laplace-transform;piecewise;unit-step,8,application,multiple_choice_single,A signal is $f(t)=0$ for $0\le t<2$ and $f(t)=t-2$ for $t\ge2$. What is $F(s)$?,$e^{-2s}/s$,$2e^{-2s}/s^2$,$e^{-2s}/s^2$,$1/(s+2)^2$,C,,,,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Laplace Transforms,existence;laplace-transform;region-of-convergence,10,analysis,multiple_choice_single,"For the unilateral Laplace transform of $f(t)=e^{2t}\cos 4t$, which condition on $s$ ensures convergence?",$\operatorname{Re}(s)>4$,$\operatorname{Re}(s)>2$,$\operatorname{Re}(s)<2$,$|s|>2$,B,,,,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Properties of Laplace Transforms,frequency-shifting;laplace-properties,1,recall,text_short,Name the property of the Laplace transform that states $\mathcal{L}\{e^{-at}f(t)\}=F(s+a)$.,,,,,frequency shifting|frequency shift|frequency-shifting|complex translation|s-shifting|shifting in s,,Multiplying a time signal by $e^{-at}$ translates its transform along the $s$-axis: $F(s)\to F(s+a)$.,Also called complex translation; it is the dual of the time-shifting property.,
